iter	Passed	Remaining
467	708	805
468	709	803
469	710	800
470	710	798
471	711	795
472	711	793
473	712	790
474	713	788
475	714	786
476	715	784
477	715	781
478	716	778
479	716	776
480	717	773
481	718	771
482	720	770
483	721	768
484	721	766
485	722	764
486	723	761
487	723	759
488	724	756
489	724	754
490	726	753
491	727	751
492	728	748
493	728	746
494	729	744
495	729	741
496	730	739
497	731	736
498	731	734
499	732	732
500	734	731
501	736	730
502	738	729
503	738	726
504	739	724
505	740	722
506	741	721
507	742	719
508	743	716
509	743	714
510	744	712
511	744	710
512	745	707
513	746	705
514	747	703
515	748	702
516	750	700
517	752	699
518	753	698
519	754	696
520	755	694
521	756	692
522	757	690
523	758	688
524	759	687
525	760	685
526	761	683
527	762	681
528	763	679
529	765	678
530	767	677
531	769	677
532	770	675
533	771	673
534	772	671
535	774	670
536	776	669
537	777	667
538	778	665
539	778	663
540	779	661
541	780	659
542	782	658
543	784	657
544	785	655
545	785	653
546	786	651
547	786	649
548	788	647
549	790	646
550	791	644
551	792	642
552	792	640
553	793	638
554	794	636
555	794	634
556	795	632
557	797	631
558	799	630
559	800	628
560	801	626
561	801	624
562	802	622
563	804	622
564	806	620
565	806	618
566	807	616
567	807	614
568	808	612
569	809	610
570	809	608
571	810	606
572	811	604
573	813	604
574	814	602
575	815	600
576	816	598
577	816	596
578	817	594
579	818	592
580	822	592
581	822	591
582	823	589
583	824	587
584	826	586
585	829	585
586	830	584
587	830	582
588	831	580
589	832	578
590	835	578
591	836	576
592	836	574
593	837	572
594	838	570
595	838	568
596	840	567
597	841	565
598	843	564
599	844	563
600	846	561
601	847	560
602	848	558
603	849	557
604	850	555
605	851	553
606	851	551
607	852	549
608	852	547
609	853	545
610	855	544
611	857	543
612	859	542
613	860	540
614	861	539
615	863	538
616	865	537
617	866	535
618	867	533
619	868	532
620	869	530
621	870	529
622	871	527
623	874	526
624	876	525
625	877	524
626	878	522
627	879	521
628	880	519
629	881	517
630	881	515
631	884	514
632	885	513
633	888	513
634	890	511
635	891	510
636	892	508
637	894	507
638	895	505
639	897	504
640	898	503
641	899	501
642	907	503
643	908	502
644	909	500
645	911	499
646	915	499
647	917	498
648	919	497
649	921	496
650	922	494
651	923	493
652	929	494
653	930	492
654	933	491
655	935	490
656	937	489
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	944	479
663	945	478
664	946	476
665	948	475
666	949	474
667	951	472
668	953	471
669	955	470
670	956	468
671	957	467
672	958	465
673	959	464
674	960	462
675	960	460
676	961	458
677	965	458
678	966	457
679	967	455
680	968	453
681	969	451
682	970	450
683	971	449
684	972	447
685	973	445
686	974	443
687	975	442
688	978	441
689	979	439
690	979	438
691	981	436
692	982	435
693	983	433
694	984	432
695	985	430
696	986	428
697	987	427
698	988	425
699	989	424
700	990	422
701	990	420
702	992	419
703	995	418
704	996	417
705	997	415
706	999	414
707	999	412
708	1000	410
709	1002	409
710	1002	407
711	1003	405
712	1004	404
713	1005	402
714	1006	401
715	1008	400
716	1010	398
717	1011	397
718	1011	395
719	1012	393
720	1014	392
721	1015	391
722	1016	389
723	1017	387
724	1017	385
725	1018	384
726	1018	382
727	1019	380
728	1020	379
729	1021	377
730	1022	376
731	1024	375
732	1026	373
733	1027	372
734	1028	370
735	1028	369
736	1029	367
737	1030	365
738	1031	364
739	1032	362
740	1033	361
741	1034	359
742	1035	358
743	1035	356
744	1036	354
745	1039	354
746	1041	352
747	1042	351
748	1043	349
749	1044	348
750	1045	346
751	1046	345
752	1047	343
753	1048	342
754	1048	340
755	1050	338
756	1051	337
757	1054	336
758	1055	335
759	1057	333
760	1058	332
761	1059	330
762	1060	329
763	1061	327
764	1061	326
765	1062	324
766	1063	323
767	1064	321
768	1066	320
769	1068	319
770	1070	318
771	1071	316
772	1072	314
773	1073	313
774	1074	311
775	1075	310
776	1076	309
777	1077	307
778	1078	305
779	1079	304
780	1080	302
781	1080	301
782	1083	300
783	1085	299
784	1086	297
785	1087	296
786	1088	294
787	1089	293
788	1090	291
789	1091	290
790	1091	288
791	1092	286
792	1092	285
793	1093	283
794	1094	282
795	1095	280
796	1097	279
797	1098	278
798	1100	276
799	1101	275
800	1102	273
801	1102	272
802	1104	270
803	1104	269
804	1105	267
805	1107	266
806	1107	264
807	1108	263
808	1109	261
809	1109	260
810	1110	258
811	1111	257
812	1114	256
813	1116	255
814	1117	253
815	1119	252
816	1120	250
817	1120	249
818	1121	247
819	1121	246
820	1122	244
821	1122	243
822	1123	241
823	1124	240
824	1125	238
825	1125	237
826	1128	236
827	1129	234
828	1131	233
829	1132	231
830	1132	230
831	1133	228
832	1134	227
833	1134	225
834	1135	224
835	1135	222
836	1136	221
837	1137	219
838	1137	218
839	1138	216
840	1139	215
841	1139	213
842	1141	212
843	1143	211
844	1144	209
845	1144	208
846	1145	206
847	1146	205
848	1147	204
849	1148	202
850	1149	201
851	1150	199
852	1150	198
853	1151	196
854	1152	195
855	1152	193
856	1153	192
857	1154	191
858	1155	189
859	1157	188
860	1158	187
861	1159	185
862	1160	184
863	1161	182
864	1161	181
865	1162	179
866	1162	178
867	1163	176
868	1163	175
869	1164	174
870	1165	172
871	1165	171
872	1166	169
873	1167	168
874	1167	166
875	1168	165
876	1168	163
877	1170	162
878	1173	161
879	1174	160
880	1174	158
881	1175	157
882	1175	155
883	1176	154
884	1176	152
885	1177	151
886	1178	150
887	1178	148
888	1179	147
889	1179	145
890	1180	144
891	1180	142
892	1181	141
893	1182	140
894	1182	138
895	1183	137
896	1183	135
897	1184	134
898	1187	133
899	1189	132
900	1190	130
901	1191	129
902	1191	128
903	1192	126
904	1193	125
905	1194	123
906	1194	122
907	1195	121
908	1196	119
909	1196	118
910	1197	116
911	1197	115
912	1198	114
913	1198	112
914	1200	111
915	1202	110
916	1203	108
917	1204	107
918	1205	106
919	1206	104
920	1206	103
921	1207	102
922	1207	100
923	1208	99
924	1208	98
925	1209	96
926	1210	95
927	1210	93
928	1211	92
929	1211	91
930	1212	89
931	1213	88
932	1213	87
933	1214	85
934	1214	84
935	1215	83
936	1217	81
937	1219	80
938	1219	79
939	1220	77
940	1221	76
941	1222	75
942	1222	73
943	1223	72
944	1223	71
945	1224	69
946	1225	68
947	1226	67
948	1226	65
949	1227	64
950	1228	63
951	1229	62
952	1230	60
953	1231	59
954	1234	58
955	1235	56
956	1236	55
957	1236	54
958	1237	52
959	1238	51
960	1239	50
961	1239	48
962	1240	47
963	1241	46
964	1241	45
965	1242	43
966	1243	42
967	1244	41
968	1244	39
969	1245	38
970	1247	37
971	1248	35
972	1249	34
973	1249	33
974	1250	32
975	1251	30
976	1252	29
977	1253	28
978	1254	26
979	1254	25
980	1255	24
981	1256	23
982	1257	21
983	1257	20
984	1258	19
985	1258	17
986	1259	16
987	1260	15
988	1260	14
989	1261	12
990	1262	11
991	1264	10
992	1264	8
993	1265	7
994	1265	6
995	1266	5
996	1267	3
997	1267	2
998	1268	1
999	1268	0
